CategoryCode,TherapeuticGroup,CategoryGroup
M01AB,Anti-inflammatory & antirheumatic (non-steroid) - Acetic acid derivatives,Pain & Inflammation
M01AE,Anti-inflammatory & antirheumatic (non-steroid) - Propionic acid derivatives,Pain & Inflammation
N02BA,Analgesics/antipyretics - Salicylic acid derivatives,Pain & Inflammation
N02BE,Analgesics/antipyretics - Pyrazolones and anilides (e.g. paracetamol),Pain & Inflammation
N05B,Psycholeptics - Anxiolytics,Mental Health
N05C,Psycholeptics - Hypnotics and sedatives,Mental Health
R03,Drugs for obstructive airway diseases,Respiratory
R06,Antihistamines for systemic use,Respiratory
